"","...1","timestamp","host","nickname","city","state","country","url","address","lon","lat","year","df","num_part","other_inst","Awards","Title","Team","Presentation"
"110",110,"4/27/2017 9:59:29","Virginia Tech","","Blacksburg","Virginia","USA","http://www.stat.vt.edu/Academics/undergraduate/VTdatafest.html","Blacksburg Virginia USA",-80.4139393,37.2295733,2014,"No",NA,NA,"","","",""
"111",111,"4/27/2017 10:27:25","Summit Consulting, DC","","Washington","District of Columbia","USA","https://www.facebook.com/events/520875878090896/","Washington District of Columbia USA",-77.0368707,38.9071923,2014,"No",NA,NA,"","","",""
"112",112,"4/27/2017 16:06:26","Case Western Reserve University","","Cleveland","Ohio","USA","http://mathstats.case.edu/datafest-2017/","Cleveland Ohio USA",-81.6943605,41.49932,2014,"No",NA,NA,"","","",""
"113",113,NA,"Macalaster College","","St Paul","Minnessota","USA","https://www.macalester.edu/datafest/","St Paul Minnessota USA",-93.0899578,44.9537029,2014,"No",NA,NA,"","","",""
"114",114,NA,"Loyola University Chicago","","Chicago","Illinois","USA","http://pascal.math.luc.edu/datafest/","Chicago Illinois USA",-87.6297982,41.8781136,2014,"No",NA,NA,"","","",""
"115",115,NA,"Brown University","","Providence","Rhode Island","USA",NA,"Providence Rhode Island USA",-71.4128343,41.8239891,2014,"No",NA,NA,"","","",""
"116",116,NA,"University of Toronto","","Toronto","Ontario","Canada","https://utorontodatafest.wordpress.com/","Toronto Ontario Canada",-79.3831843,43.653226,2014,"No",NA,NA,"","","",""
"117",117,"4/25/2017 14:17:28","Duke University","","Durham","North Carolina","USA","http://stat.duke.edu/datafest","Durham North Carolina USA",-78.898619,35.9940329,2015,"Yes",230,"UNC Chapel Hill, NC State, North Carolina A&T, UNC Greensboro, NCSSM, University of Micgican, NCCU","","","",""
"118",118,"4/25/2017 14:28:04","Vassar College","","Arlington","New York","USA","http://pages.vassar.edu/datafest/","Arlington New York USA",-73.8968025,41.6959269,2015,"No",NA,NA,"","","",""
"119",119,"4/25/2017 14:28:21","Purdue University","","Lafayette","Indiana","USA","http://llc.stat.purdue.edu/datafest2016.html","Lafayette Indiana USA",-86.8752869,40.4167022,2015,"Yes",20,NA,"","","",""
"120",120,"4/25/2017 14:31:52","Emory University","","Atlanta","Georgia","USA","http://www.quantitative.emory.edu/events/datafest%20.html","Atlanta Georgia USA",-84.3879824,33.7489954,2015,"Yes",53,NA,"","","",""
"121",121,"4/25/2017 14:32:44","Davidson College","","Davidson","North Carolina","USA","https://www.davidson.edu/academics/mathematics-and-computer-science/student-activities/competitions/datafest","Davidson North Carolina USA",-80.8486846,35.4993031,2015,"No",NA,NA,"","","",""
"122",122,"4/25/2017 14:34:07","Middlebury College","","Middlebury","Vermont","USA","http://go.middlebury.edu/datafest","Middlebury Vermont USA",-73.16734,44.0153371,2015,"No",NA,NA,"","","",""
"123",123,"4/25/2017 14:35:02","Wellesley College","","Wellesley","Massachusetts","USA","http://www.wellesley.edu/qai/bowdatafest#ElLUAcl0AQjOi29H.97","Wellesley Massachusetts USA",-71.2923877,42.296797,2015,"No",NA,NA,"","","",""
"124",124,"4/25/2017 14:37:08","Wesleyan University","","Middletown","Connecticut","USA","http://datafest.blogs.wesleyan.edu/","Middletown Connecticut USA",-72.6506488,41.5623209,2015,"No",NA,NA,"","","",""
